grid_point, analysis_value, analysis_increment
[0, 0],5328.267200320166,10.083786106053594
[0, 1],5344.774505662645,9.835995660482695
[0, 2],5376.856508031021,23.825022381554845
[0, 3],5405.952623316468,30.909145840728343
[0, 4],5425.633265515352,28.355614232597873
[0, 5],5457.662284811284,40.66334346879103
[0, 6],5476.00861706208,41.25200584973663
[0, 7],5487.553225746754,37.60743129727325
[0, 8],5494.237847908825,32.864067177541074
[0, 9],5496.096374988614,25.886250337485762
[0, 10],5497.122243760278,17.829317289163555
[0, 11],5509.628023185569,19.234668896020594
[0, 12],5532.95785484818,28.961836469557056
[0, 13],5556.942778645729,35.97924348518791
[0, 14],5591.139135659653,50.07051939763369
[0, 15],5615.432460593976,54.69589102187365
[0, 16],5642.78264892745,65.38657356571548
[0, 17],5644.58043875177,51.62560226422738
[0, 18],5654.198452403503,44.92061068566454
[0, 19],5659.695034335885,36.30980505127627
[0, 20],5659.826889973497,27.72583316228247
[0, 21],5660.528527358222,24.170356802187598
[1, 0],5298.109624607396,-6.859277891587226
[1, 1],5314.879475571572,-7.763697524638701
[1, 2],5327.353265151058,-13.00878536437267
[1, 3],5365.064495331871,3.773924356751195
[1, 4],5400.0650090212075,16.325953759689583
[1, 5],5415.669130079137,10.661464450230596
[1, 6],5443.043859311736,18.376181609089144
[1, 7],5477.487933797148,35.51314782847112
[1, 8],5485.947890241102,30.744942118019935
[1, 9],5486.547607513202,21.77480102070058
[1, 10],5491.57960446403,18.082007011899805
[1, 11],5503.096257939577,19.6549853298975
[1, 12],5525.275118615239,29.99544893535858
[1, 13],5547.421446001774,37.51258539490664
[1, 14],5580.269105308855,52.58574456682527
[1, 15],5599.765870144916,53.015359997234555
[1, 16],5624.355442650224,58.48087442988253
[1, 17],5641.096513131967,54.739766368075834
[1, 18],5654.6571774211325,47.755401766552495
[1, 19],5655.3983411755835,33.058947410755536
[1, 20],5662.241480585028,31.15078567272576
[1, 21],5662.494465130786,27.106792435128227
[2, 0],5261.845933355796,-28.920701190089858
[2, 1],5276.838567095328,-29.763441824239635
[2, 2],5301.285124462331,-21.43738740167555
[2, 3],5318.848282807727,-23.865487369365837
[2, 4],5348.015377131171,-17.909968896882674
[2, 5],5384.264640880037,-4.421834663890877
[2, 6],5415.118113414676,5.538894576081475
[2, 7],5443.578766651373,15.223159153219967
[2, 8],5469.360975610882,26.43804973200713
[2, 9],5473.237783096509,20.511248066073676
[2, 10],5477.542123733724,16.917027288407553
[2, 11],5487.54837748829,18.52272410696787
[2, 12],5507.446406448474,28.678065717407662
[2, 13],5518.93191183704,28.05640992050303
[2, 14],5535.721709497647,29.355073404013638
[2, 15],5563.783119239989,38.64145214243945
[2, 16],5592.499618344636,44.960981422927944
[2, 17],5627.566076278896,53.68694435402267
[2, 18],5632.597851763693,33.415285323221724
[2, 19],5651.084913753218,34.02406347595752
[2, 20],5659.21764022626,31.99071332708172
[2, 21],5660.2589556595285,27.774715579855183
[3, 0],5249.9068866238085,-28.84497470857059
[3, 1],5260.9729443578,-29.775161983916405
[3, 2],5275.387130599196,-29.298777642499772
[3, 3],5299.35096844656,-24.86594204339599
[3, 4],5329.434945058148,-18.91711934977957
[3, 5],5366.539395498527,-5.17897655750221
[3, 6],5387.171047054091,-4.72345636902719
[3, 7],5393.6039804152,-16.210432971240152
[3, 8],5421.916298536394,-2.0930992742578383
[3, 9],5429.114780339217,-4.116184893728132
[3, 10],5432.971425924339,-7.066923997555932
[3, 11],5438.814371442635,-8.109881949366354
[3, 12],5455.910374700183,0.9844508624446462
[3, 13],5455.953652855233,-9.254454146460375
[3, 14],5483.216853599956,4.048111833766598
[3, 15],5519.01284732055,20.973338716973558
[3, 16],5551.252595025377,27.722671723508938
[3, 17],5552.99981725855,-1.8794836432725788
[3, 18],5616.048070638564,31.44970350463518
[3, 19],5637.86172672669,31.938550869112987
[3, 20],5648.695659339156,29.94717617725655
[3, 21],5651.691345916002,25.925423266378857
[4, 0],5236.083098667272,-29.38438598072571
[4, 1],5245.117243225102,-28.8496684233005
[4, 2],5256.036491766248,-30.32796497373147
[4, 3],5277.155913174141,-29.46816084776401
[4, 4],5318.876088957879,-14.180381365019457
[4, 5],5356.030535984459,-1.7134105524528422
[4, 6],5375.652467670676,-1.2640595607408613
[4, 7],5384.12866379095,-8.835275133885261
[4, 8],5389.958784460206,-15.872192396441278
[4, 9],5391.080038478481,-23.01967181249256
[4, 10],5393.97286817732,-25.830255159326043
[4, 11],5398.032170805286,-27.456334278197573
[4, 12],5404.836156418401,-27.556720713636423
[4, 13],5413.174166271788,-28.27106145167636
[4, 14],5446.274926693562,-7.747414320778262
[4, 15],5469.524962754229,-2.8031655595750635
[4, 16],5478.978124862041,-19.8558858251763
[4, 17],5510.016048106333,-21.818508056706378
[4, 18],5560.548501576777,-2.952855815578914
[4, 19],5614.795568950527,27.244986520096063
[4, 20],5628.5562500640835,25.454241631987315
[4, 21],5633.947340983515,21.952070481521332
[5, 0],5220.061260978862,-28.852451138958713
[5, 1],5228.787510460401,-28.09616310284582
[5, 2],5239.583833122234,-29.45242058857275
[5, 3],5262.370609372298,-28.53693926613869
[5, 4],5311.269235794695,-9.909586283200042
[5, 5],5350.975822518551,1.7382621595124874
