grid_point, analysis_value, analysis_increment
[7, 3],5269.029682299549,-13.855965032262247
[7, 4],5313.317910811803,-6.133632793944344
[7, 5],5350.966500621895,-2.4082514118599647
[7, 6],5380.915231301388,0.5611667259208843
[7, 7],5399.45656045674,-2.480899928023973
[7, 8],5408.349093763565,-7.749572807072582
[7, 9],5412.543425576192,-10.995526921471537
[7, 10],5415.69095092718,-11.923504306524592
[7, 11],5421.729659199897,-8.295185177463281
[7, 12],5423.26043172372,-7.849006432775241
[7, 13],5417.718296196749,-14.280401092706597
[7, 14],5419.671271470865,-15.215450015325587
[7, 15],5418.864221605333,-24.27586762156534
[7, 16],5421.374264070338,-39.37326369769107
[7, 17],5447.413558039147,-39.252087682677484
[7, 18],5493.048244630477,-20.151030572868876
[7, 19],5546.153355071864,11.641062718065768
[7, 20],5594.330545969331,45.056753843925435
[7, 21],5636.880644192158,78.25727415375968
[8, 0],5209.017742276477,-17.773757102415402
[8, 1],5221.674603607447,-19.62869358594253
[8, 2],5244.583933626946,-19.147116275964436
[8, 3],5282.485673703104,-14.38317220375211
[8, 4],5323.16102276234,-10.196167219663039
[8, 5],5360.327222844672,-4.374746080025034
[8, 6],5390.489377882171,-2.335047927155756
[8, 7],5411.729142187788,-5.844984320465301
[8, 8],5425.578529720639,-8.00991306020478
[8, 9],5432.057980111605,-9.925050059203386
[8, 10],5435.246251621958,-11.069153745980657
[8, 11],5440.0933984800995,-7.3956404280716015
[8, 12],5437.587783842337,-8.159606191627972
[8, 13],5431.297586135816,-11.764444558883952
[8, 14],5425.5508493256575,-16.42688235441892
[8, 15],5419.107142933042,-26.238599875078762
[8, 16],5414.939082210374,-42.551749698468484
[8, 17],5439.779540137672,-40.0666043199617
[8, 18],5481.638086903081,-23.703267675877214
[8, 19],5531.346807134313,4.9248895382688715
[8, 20],5576.000402947711,34.88363253771968
[8, 21],5626.444046898289,75.41638138241706
[9, 0],5217.064322139442,-13.353853956765306
[9, 1],5238.138899043732,-8.465477957877738
[9, 2],5257.411863295339,-15.952287116620028
[9, 3],5296.5430887318935,-13.426769261638583
[9, 4],5333.556075392464,-11.786968634588447
[9, 5],5365.592570514165,-9.164614723017621
[9, 6],5400.137210847696,-4.933431491388546
[9, 7],5428.290641232405,-6.698751888004153
[9, 8],5446.588823190172,-7.841688828872975
[9, 9],5454.812202626578,-8.87356372117847
[9, 10],5456.280048624744,-10.80619043520528
[9, 11],5453.172444824649,-12.858899382879827
[9, 12],5445.251963864139,-16.218037762580934
[9, 13],5436.591959144997,-19.297843757349256
[9, 14],5424.943869833529,-26.783892631707204
[9, 15],5414.87226553906,-36.09099089769734
[9, 16],5405.429465525551,-51.812298540864504
[9, 17],5424.520124964912,-49.5472545723469
[9, 18],5464.202970791339,-32.92131236500609
[9, 19],5510.641363554573,-7.511310767311443
[9, 20],5555.8285647566845,22.00723304168241
[9, 21],5615.305867676698,69.35505162716345
[10, 0],5218.7692033243175,-15.812527146607863
[10, 1],5241.878328394954,-8.725395012971603
[10, 2],5271.112292772126,-5.62855798631972
[10, 3],5309.333740809824,-4.58649622874691
[10, 4],5342.556167508994,-9.373943727585356
[10, 5],5376.738602049955,-8.540604651038848
[10, 6],5414.34652632753,-6.486679327380443
[10, 7],5449.981783547382,-5.876867553405646
[10, 8],5471.031343682112,-6.27717821116039
[10, 9],5479.121985046395,-6.558676687725892
[10, 10],5478.037775127358,-8.87727679555519
[10, 11],5470.859243295748,-12.740674632581431
[10, 12],5457.791910396074,-19.453053452330096
[10, 13],5443.937930424435,-26.275038153609785
[10, 14],5432.390303220201,-32.17883254993467
[10, 15],5415.086380546224,-46.45235342569322
[10, 16],5399.633762485137,-63.89736538126181
[10, 17],5410.480502351861,-64.1195662003147
[10, 18],5445.37892589236,-48.67380242706986
[10, 19],5490.841027257065,-24.326294644858535
[10, 20],5540.408008070895,6.923089035269186
[10, 21],5609.781509436154,59.124291627344064
[11, 0],5212.759534738545,-24.719936436874377
[11, 1],5239.453070145696,-13.901619446509358
[11, 2],5271.43183371239,-7.670933915609567
[11, 3],5316.476044932456,-2.4041273971643022
[11, 4],5357.394905994642,-6.6651736068442915
[11, 5],5396.193130893425,-9.108920152949395
[11, 6],5438.482443470586,-6.816040768309904
[11, 7],5473.9060857573095,-6.301526984140764
[11, 8],5495.650240429202,-4.151893440137428
[11, 9],5503.212803856253,-3.06148616500559
[11, 10],5502.290101985216,-3.7434983140765326
[11, 11],5493.882094778909,-8.23824776892161
[11, 12],5480.33692488644,-15.654726402102824
[11, 13],5467.297684132782,-22.136659297701044
[11, 14],5452.686998917694,-31.424248983059442
[11, 15],5432.823535238774,-48.05313998558813
[11, 16],5409.846911832867,-71.24501318558396
[11, 17],5410.927922973463,-77.5088017746375
[11, 18],5434.535482976806,-70.87273617044593
[11, 19],5485.601051551844,-42.77887898277186
[11, 20],5540.486880180199,-11.734857128462863
[11, 21],5608.742922045922,31.97093056855647
[12, 0],5196.190323301195,-40.58991268021782
[12, 1],5222.453140479924,-33.6940002486117
[12, 2],5271.286545249181,-16.73870821235687
[12, 3],5331.212534531171,-5.960679615117442
[12, 4],5386.173511221092,-4.912803882757544
[12, 5],5430.372006849525,-5.551647868824148
[12, 6],5465.97626714657,-7.227043404473989
[12, 7],5500.751811829667,-2.112303921468083
[12, 8],5520.352920325995,0.1965657617101897
[12, 9],5528.894805714664,2.0272428490607126
[12, 10],5530.894209894636,2.903882065316793
[12, 11],5523.793880528768,-2.5785610605526017
[12, 12],5513.62713931501,-9.415590514908217
[12, 13],5507.657125380351,-11.25941840003452
[12, 14],5497.841644243716,-17.394563163398743
[12, 15],5471.285277214574,-41.55481621738363
[12, 16],5447.022609048529,-65.63174836205144
[12, 17],5437.007705575594,-81.1019477146001
[12, 18],5457.8752294852775,-76.26592544084087
[12, 19],5506.908985640908,-53.16722919014774
[12, 20],5562.231853896019,-27.192455302702
[12, 21],5615.036572464633,-3.1717087167080535
[13, 0],5164.0434717738935,-64.94154350777171
[13, 1],5218.521319856476,-40.58402480571476
[13, 2],5287.659408038272,-20.14478596817571
[13, 3],5354.478356443806,-16.054530203417926
[13, 4],5418.4839438399895,-6.444655124905694
[13, 5],5458.147918626686,-4.947345415603195
[13, 6],5487.168374143914,-6.345992296331133
[13, 7],5516.580424917543,-3.174930554691855
[13, 8],5541.19813906686,2.513341454291549
[13, 9],5555.37940717937,5.631858765784273
[13, 10],5557.049683884687,1.1651472964194909
[13, 11],5556.845582591669,-2.48159431658587
[13, 12],5557.530399108368,-2.9498785143696296
[13, 13],5560.2380226584355,0.6933825346877711
[13, 14],5554.630396358564,-2.916943210646423
[13, 15],5526.329336519841,-29.366829780360604
[13, 16],5496.6537389960695,-58.689368632925834
[13, 17],5484.035577802994,-75.80356424048477
[13, 18],5503.542552441323,-71.2821970108007
[13, 19],5553.725440157697,-47.63960321848754
[13, 20],5610.555222123131,-21.38412696789601
[13, 21],5662.224508266019,2.221634601911319
[14, 0],5141.072359092661,-79.73105302392378
[14, 1],5211.864377085498,-52.00512878932204
[14, 2],5305.555435762063,-27.2456661909182
[14, 3],5382.692806624345,-19.90770328047256
[14, 4],5437.128799200144,-11.483333170331207
[14, 5],5472.390005892497,-6.375830068345749
[14, 6],5495.907254694366,-10.409035547982967
[14, 7],5525.666302307543,-8.417020643978503
[14, 8],5554.109790418561,-3.8152156653277416
[14, 9],5577.898086940616,2.428435697142959
[14, 10],5590.089374660338,2.2654596677912195
[14, 11],5596.5347117593,0.38048087359584315
[14, 12],5608.175847099952,7.384403283573192
[14, 13],5614.863796627893,12.432967987092525
[14, 14],5612.231501804229,9.899954023998362
[14, 15],5587.603248102719,-14.321919929671822
[14, 16],5557.792759914307,-45.14187347534971
[14, 17],5550.705158834976,-57.419001833762195
[14, 18],5568.796022589362,-53.15487790138923
[14, 19],5617.81031593623,-28.43336087118223
[14, 20],5667.429180477945,-7.12105507792694
[14, 21],5716.177350752389,16.147985801235336
[15, 0],5141.30684073776,-85.5348916038356
[15, 1],5221.506596981633,-55.74430215927714
[15, 2],5325.5660640726055,-26.9862848107432
[15, 3],5397.809765149061,-21.465910503630766
[15, 4],5445.017024051567,-14.533035001447388
[15, 5],5477.00304414332,-11.907903306794651
[15, 6],5500.571241186148,-19.528410981164598
[15, 7],5531.738620215856,-20.875581462493756
[15, 8],5568.1520081066965,-12.53343087302892
[15, 9],5596.463440680726,-5.724815566222787
[15, 10],5618.6543110889315,0.7945631938837323
